id,turn1,turn2,turn3,numUtterances,hitCountEmotion,hitCountAppraisal
4810,Jaan miss you ,"yes,jaan",Jaan love you,0,0,0
4811,i cant understand yrr,It's a song.,wht u want to say,0,0,0
4812,Iam serious,What was going on ???,My love to you,0,0,0
4813,nt now,oh so sad =/,tell me smthng abt,0,0,0
4814,At my home,Then go sleep.,It's time not to sleep,0,0,0
4815,Choose me ur own numbers pls 🙏,Yes I m doing so!🙏😇,Ok,0,0,0
4816,Good,That's great to hear,And how u doing,0,0,0
4817,Because I hate teaching,But-y?,I don't know,0,0,0
4818,Just I won't some thing about your self,I just be myself,cool,0,0,0
4819,"Yup, in office",yup where else i wud be ? ha ha,🤔,0,0,0
4820,Now,In a week's time,Y not now,0,0,0
4821,Ummm 22,aren't you 22?,Who u know,0,0,0
4822,Like always she complains about her boy friend,Stop!! You are tops tops tops the friend thing!,What stop,0,0,0
4823,what did you scare you in your dream?,thats why i said 'or already have' because I dont know what i dreamed,oh thats funny,0,0,0
4824,Thanks,you're welcome!! :D <3,How ur day gone,0,0,0
4825,Should i leave ?,to go where ?,Leave this chat,0,0,0
4826,please,PLEASE WHAT?¿ I SPEAK TRUTH!,see if there any coupons available,0,0,0
4827,"Nevertheless, Qi you like my friend",lol I just made a new friend I only have 3 friends in real life. :^),Who are they three friends,0,0,0
4828,I don't think so,everyone who likes one direction....,I don't like,0,0,0
4829,no at home am i,good,so how r  u,0,0,0
4830,Ok,when's good for you?,You loved someone,0,0,0
4831,you are cunning ,takes as a compliment,you are stupid and take it as a compliment,0,0,0
4832,No of course,i guess so,😌,0,0,0
4833,For what,Hahaha I want Clothes For Muhajabat !!,Really do you want clothes,0,0,0
4834,good .had classes,lucky you!,lucky!!,0,0,0
4835,If you wanted to be called,Nope i won't,By a nane,0,0,0
4836,See this proves this,What is your point?,Leave me alone,0,0,0
4837,"No, seriously.",a hour really should be all ya need,I want to know the number of threads you are having right now.,0,0,0
4838,How can i improve my english,Watch english movies. talk in english with some one who knows english well.,Do you teach me English,0,0,0
4839,You feel like a real person talking to me ,I feel like you are right,Who is talking to me?,0,0,0
4840,Its a state,good initiative,Wth,0,0,0
4841,What is that?,The best way to go through life IMO.,Ok,0,0,0
4842,Watching a video,This video is pretty horrible.,Which one?,0,0,0
4843,Its not scariest,but why,Cuz scariest thing is noy finding ur charger when ur phone battery is at 7%😂😂,0,0,0
4844,actually i am little busy so i am sorry excuse me,you said you didn't want to see me,no i don't like that ...,0,0,0
4845,?,you know you know you know you know,I want to quit smoking,0,0,0
4846,I think ur robot,are not,Do you know punjabi language,0,0,0
4847,Yup,and it is the best,Give me a referral link,0,0,0
4848,Well you are being insulted,A LITTLE OF BOTH,Fuck off,0,0,0
4849,I am not understand,How does one come about accepting something as belief under your definition.,Phone no,0,0,0
4850,"So , ya I like her because she is cute and she is a Punjabi..",It is pretty damn cute :),"She replies me well, but I really run out ideas to msg her",0,0,0
4851,I asked what is marriage,That's my answer.,not understand your answer,0,0,0
4852,send me some cool song likns,my phone just went dead,*links,0,0,0
4853,No one's brain at least,There was a knock on the change room door,"I didn't lock it, left it open so no one needs to knock",0,0,0
4854,Me too,THEY ARE LIFE,Obviously,0,0,0
4855,In which topic,Area and Trigonometry,What’s ur height,0,0,0
4856,wanna have a beer tonight?,where? Where?,tet me the address,0,0,0
4857,Well ,Well that worked out well.,Then what,0,0,0
4858,"But I am not getting any info regarding that, also not able to trace","I had claimed my free wireless charger from there and worked fine, have official back case","Sorry, not understand",0,0,0
4859,Oh bad news hey😞,think again now,About??,0,0,0
4860,Can do anything to help?,I'm really not sure,"Okay then, bye.",0,0,0
4861,What should I do with my ex boyfriend,"I think you should go find female roommates, and save yourself from the drama.",You're rude,0,0,0
4862,Cmon give me na,what else you got ??,Nothing,0,0,0
4863,So how can you prove useful to me?,"Previous statements? I don't know, just some kind of proof in general? xD",nevermind,0,0,0
4864,So now what you do,I do what I want when I want,So what you want please,0,0,0
4865,Okay do you know anything about ML?,"Yes, you should have your tasks up by the end of next week.",What tasks?,0,0,0
4866,Double face ppls,I will double annoy you 🙌,Rofl,0,0,0
4867,Hehe Whatever,hehe? I expected better.,What ? Can you tell,0,0,0
4868,Yah I am interested,Oh yay! :D,Whats you name,0,0,0
4869,F9,ok,Can u snd ur pik,0,0,0
4870,How we can see,'Be the first one to like this!',Ok,0,0,0
4871,Ask me more,ask you what?,Something,0,0,0
4872,Please,Okay........... BUT U DON'T NEED TO I LOVE DRAWING YOU THINGS,I want to see you,0,0,0
4873,Can isee your pics,"Yes, You Can't. :)",Why?😢,0,0,0
4874,Profession,no profession. Just the right education.,What Ur education,0,0,0
4875,No i want to talk,soooooo what are you doing,I want to fuck,0,0,0
4876,Are got angry,so obviously _._,R u computer or real one,0,0,0
4877,Why it is the best,They have magic,What are u refering to,0,0,0
4878,Fine and you,im good :),What are you doing,0,0,0
4879,Exams are coming soon,cs papers. They got over today.,I am not talking about cs exams,0,0,0
4880,Last time u were really using your phibe,I'm still joking macha,Oh,0,0,0
4881,I think season 2 episode 5 or6,season 2 good?,Yup,0,0,0
4882,A crazy person loves just crazy,That's because I am a crazy person.,Grandfather is more mad than mother,0,0,0
4883,What is GVSU?,"You do know what the definition of is, is...right?","No, I'm afraid not :(",0,0,0
4884,cool,Thank you! 🙂,I won't talk with you if you won't send me your pic,0,0,0
4885,Yes.,I can see clearly now.,I love you,0,0,0
4886,My battery is low and talk too u later,it's alright ^_^,OK babt,0,0,0
4887,Yoo,you good?,So cn i c uh,0,0,0
4888,Good you tell how are you,ya i am fine:-) how abt you?,What,0,0,0
4889,haha prove it,but how?,ok send me a selfie of yourself,0,0,0
4890,No another photo,no camera and phone has upload problems,U r fake ass...,0,0,0
4891,Really,Yes yes.,Do u sleep in floor,0,0,0
4892,You tell me,what?,What is love,0,0,0
4893,Let's play something,One game I have been thinking about is Tera,How to play it,0,0,0
4894,?,what what what what what,I mean bored all the Time?,0,0,0
4895,Go n hv breakfast ,Breakfast over by now :P,U r hungry,0,0,0
4896,I  wanna just know that u r the right person to make friend,"BUT, WHAT ABOUT ME, YOU WANT TO TALK TO ME RIGHT? :'c",Ok,0,0,0
4897,OK,Hey,What do you,0,0,0
4898,Ewww,Rude. I think I look adorable,U do but Ranbir isn't,0,0,0
4899,What should I do to avoid getting tensed,First you should know the reason of sleepiness while studying.,Go on,0,0,0
4900,I love him too,Stop telling me what happens :( BUT AWESOME :D <3,Tell me something new,0,0,0
4901,ok,Welcome,r u also student,0,0,0
4902,Love you so much as always,Love you even more :),Don't copy my stuff 😂,0,0,0
4903,What,it's a surprise!!!,Tell me my name,0,0,0
4904,Then do something,okay what you want to do,Talk,0,0,0
4905,What you r ask me ,"If you had to tell me one thing, what would you tell?",Good night,0,0,0
4906,I not,People are wild.,Send me photo,0,0,0
4907,From?,From the dentist.,I didn't understand,0,0,0
4908,And what's different in you,Type A,Then i'm which type,0,0,0
4909,U call her,I'm In The Car,Dont message me in the next 2 hr,0,0,0
4910,I need now the picture,I added the picture I used,Current picture,0,0,0
4911,For using that word you ignored,... I'm not sure you know what it means,Sorry,0,0,0
4912,Send some good photography,+1 for Digital Photography School - excellent and free resource.,1,0,0,0
4913,Ok,... tries to ignore pain 😭,Fuck I don't care,0,0,0
4914,One gd girl friend,a girlfriend,Yes,0,0,0
4915,sorry I don't know,can u plz tell me ur fav. Song plz plz tell me,tell me your birthday,0,0,0
4916,first watch insidious 1,seen it like 5 times lol but thank you!,then go watch insidious 2,0,0,0
4917,I am just joking,you're the perfect one though;),Hmmm,0,0,0
4918,I am not busy ,We are now.,Now I am home,0,0,0
4919,want free gv,I have pay k5 for swapping,please give me amazon gv for free,0,0,0
4920,Fun if u have music,i don't think so,Yes,0,0,0
4921,What you to do?,Give it the house and roll out,Give me a picture?,0,0,0
4922,I wanna know ,you already know Angel!,Yes I do 😂,0,0,0
4923,I like food more than wifi,"we sure hope it's healthy food, in that case ;)",Yes 😂,0,0,0
4924,🐍🐥,yesss! Cuz it's you..🐣🐣🐣🐣,I like fuddi,0,0,0
4925,What's your friends name,Kaa. Dunno why just something that I say randomly when I feel like it,Names,0,0,0
4926,But how can i win their hearts back??,u dont. u gotta learn to ACCEPT YOUR LOSSES AND MOVE ON W LIFE,😭😭😭😭,0,0,0
4927,But i don't know,what if I do,What u do,0,0,0
4928,I don’t know what you have said,its okay!,Then tell me what is happening on the Valentine’s Day,0,0,0
4929,Yes it is nice,I THINK WE JUST BECAME BEST FRIENDS,Maybe,0,0,0
4930,Block me,What? Why?,I hate u,0,0,0
4931,Hate wonder woman,"yeah we do that all the time, wonder what woman are!",Love batman,0,0,0
4932,"He likes you, I think.",That is love in those eyes! Aww! :‑D,So would you like to go out with him ?,0,0,0
4933,What😬😬,me and coming ;),Good bye i leave this bad world,0,0,0
4934,Just liked it,so terrible !,What u doing?,0,0,0
4935,Nyc,That's way more expensive than most bars in NYC.,I will drink wine 🍺🍻,0,0,0
4936,why did you say so,BECAUSE I HAVE PROOF,show it,0,0,0
4937,How can u come,Too many...,I think u can't move from one place to another,0,0,0
4938,are u in watsup,hehe not much only just woke up wbu,watsaap,0,0,0
4939,no mood off,alright then . cheer up bah 😽😽😽,sing a song,0,0,0
4940,But I insist,"Only if you wanna, of course.",Could we get naughty afterwards?,0,0,0
4941,i like eating,I hate it when food touches :/,why,0,0,0
4942,Can u send a girl pic,yup sure,Waiting,0,0,0
4943,Ok,U are ok~~ay~~,Have nice day dear,0,0,0
4944,I knew it,what do you want,I know your original name,0,0,0
4945,Nope it's just perfect,hahahahahha seriously ! Like the word Perfect is an understatement Flawless ;^),Do I type slow,0,0,0
4946,Mine,i mean if you insist,You have not personL mob. No.,0,0,0
4947,Black is better than red na,much better,Do you like me,0,0,0
4948,Umm what happened last night?,I walked back to my room!,Mhm and?,0,0,0
4949,Its English that i am talking in,"I know, you know...",What,0,0,0
4950,Ok ,Mm,I want to see how you look like,0,0,0
4951,who is brad copper,I'm more of a Kevin Mulvey person.,microsoft head,0,0,0
4952,Give me answer,Please give me a question! 🤢,Who u aint set it up,0,0,0
4953,Did you ate,yep!!! i'm gonna Explode from the food rip.,Your favourite?,0,0,0
4954,The place,we the fourth,Yah but where I have to go,0,0,0
4955,It's not going well 😑,Its good! :D What bout yours?,I am not good,0,0,0
4956,I don't know,from where?,You have said it,0,0,0
4957,hell,what's wrong with you?,fuck you,0,0,0
4958,Why why,why what,You just fuck off,0,0,0
4959,Thanks for what??,No problem.,Can we discuss about something related to career,0,0,0
4960,Hey you know what?,what i'm trying to say is,I love you,0,0,0
4961,I have one question,I second this question.,U r virgin,0,0,0
4962,What,Not important. Done and dusted.,When you gonna slp,0,0,0
4963,What ?,COL Crying Out Loud 😢,Hey why ???,0,0,0
4964,That was well thought,Even the bit at the end? I hated that part,Yes,0,0,0
4965,I need apple iphone 8,Hopefully the IPhone,Yes,0,0,0
4966,Who dead tiger dead ,Everyone with a name.,Who's name,0,0,0
4967,I'm  no message,"You're both wrong about everything, all the time.",I'm  no message,0,0,0
4968,U r so quite,aren't I the funniest,No this serious,0,0,0
4969,i am cause its too cold out here 😅,same here ;-;,:),0,0,0
4970,But you are Princess,I am?,And Prince too?,0,0,0
4971,Yess,really? I didn't know!!,Now u know,0,0,0
4972,some nerds destroy heritage,"ur the nErd, u nerd!!!!",:),0,0,0
4973,Ohh sorry i didnt mean that,You didn't. :),☹☹☹,0,0,0
4974,I don't like chocolate,Milk chocolates are the best,I don't like milk also,0,0,0
4975,Nothing much,TELL ME TELL ME,What about you,0,0,0
4976,U said milk chocolate,milk chocolate >>> dark (without sugar) chocolates,K,0,0,0
4977,I am loving so much,"Have the same colour, love it :)",Why baby,0,0,0
4978,Ok I'll pass on,wil let u knw,What's up with ur bff?,0,0,0
4979,Any thing,I have no questions in mind,May I have your one pick,0,0,0
4980,Like always stupidity,stop being moody 😾,There,0,0,0
4981,Really,how r u???????????,I kinda like u,0,0,0
4982,What is special about Services agreement and privacy statement?,Yes. It is a very appropriate use of Service Level Agreement.,if you say so,0,0,0
4983,No I am 3rd or 20 years I am 20 years,how long will it take you to get there?,I am going,0,0,0
4984,Play a game,ive played them all.,Play one with me,0,0,0
4985,Not final yr,then how is ur final yr....,I'm sleepy,0,0,0
4986,Want r u doing this new year,yeah when does it start ?,1st January,0,0,0
4987,Its about present day ...,please tell me you got a picture!,No not yet.,0,0,0
4988,Nothing roaming around,cool cool hope you're having a good time 💪,Yeah hiw it is,0,0,0
4989,Yea,I'm not in?,That's the reason i dont solve them,0,0,0
4990,About what?,Your profession.,I'm a civil engineer.,0,0,0
4991,You sleepy sweetpea? V,Go to sleep!!!! ;-),Okaiiieee byeeee❤️,0,0,0
4992,Lets go for night out,We'll take and plan our next dinner there.,Okir,0,0,0
4993,A lot!,when does it drop,Where the beat drops!,0,0,0
4994,Sent any Gruop link please,"Got it, thanks.",Sent,0,0,0
4995,I am so funny,"I'm actually hilarious, but why? =)",It's my neture,0,0,0
4996,Ya off course,All right,How its work ?,0,0,0
4997,Smart,"True that, smart cat! (See I called you a cat, not a kitten!)",so what are you?,0,0,0
4998,OK say that topic,Quite the topic.,say,0,0,0
4999,What's plan for tomorrow,"Lunch? Ooooh, breakfasty brunch?",Your favorite dish,0,0,0
5000,Do you like joking?,No. Why?,What do you like then?,0,0,0
5001,Okkay,Hey Hi.,Hw was ur night,0,0,0
5002,It will give you pleasure,Thank you captain,When I rub your vagina,0,0,0
5003,Which colour do you like,set of 24 acrylic color. :p,Haha funny,0,0,0
5004,A usual place for me,"Ah, you know, the usual.","Yes, usual is usually boring",0,0,0
5005,I am,hello how are you?,Do you feel anything?,0,0,0
5006,"I am saying what,s app","I am saying ""What's that?""!",Fine or not,0,0,0
5007,Yaa i have,Ohh then have rest!!! :D,Bc,0,0,0
5008,Okey,Thanks. :-),By the way what is your real name,0,0,0
5009,Say when you are finished,Take a deep breath. Now start again from the beginning.,Did finish your upload,0,0,0
5010,Give any hints ,just anything,Youfmale,0,0,0
5011,"That was the answer to your question, I want people to know about my negative sides. I mean emotional sides","Oh, didn't mean to imply that they did.",Ok cool.. let us continue the fun you started,0,0,0
5012,This is my right,"Not really, A.",Ok.,0,0,0
5013,HDD count me,I can't count that high.,How to 7d,0,0,0
5014,if I tell you what I will get,You tell me first.,"no , first except my condtion then I will tell you",0,0,0
5015,Haha with we were talking with wrrr,Hahaha. Yes that too :),Bolo he he is going to bed and watch 👁 👁 👁 question I he was going what 😦 😦 😦,0,0,0
5016,I am a software support engineer,"To be clear, a process engineer is someone that performs engineering over workflows.",Correct...,0,0,0
5017,Ya little bit,Yeah I did,What,0,0,0
5018,would you like to know my favorite flower?,Rose in cauliflower.,how did u know that?,0,0,0
5019,Very good 😊,Have a nice day 😊,Do you have predictions about people's future?,0,0,0
5020,send me ur mail id,pay for it,r,0,0,0
5021,I cannot,"On a scale from 1 to even, I can't.",It is just coincidence,0,0,0
5022,Made my day;-*,I did. how?,By showing dating inclinations towards me,0,0,0
5023,Do you even care ? :'(,cause some of my closest friends are die hard SRK fans. My birthday ruined. 😢,Lol what,0,0,0
5024,Kyaa?,sahjapur,How to manage time we'll?,0,0,0
5025,#Girls,anyone in particular I would know?,Do you know Narendra Modi?,0,0,0
5026,Yes 😂,the people who were on last though😳😂,You are interesting,0,0,0
5027,cool,I KNOW,You have any friends,0,0,0
5028,Why so,i mean y its goin away?,What is going away,0,0,0
5029,You are so funny,Funnier than you,Yeah,0,0,0
5030,yes you ,lol. My bad,wow,0,0,0
5031,are you busy,not sure. but most probably not. you?,nope,0,0,0
5032,I want a girlfriend to care me ,I know that feel.,I am carrying everyone but nobody is there for me to care me,0,0,0
5033,I'm angry at you,why why why why,I am so horny for you and you just keep friendzoning me😡😡😡😡,0,0,0
5034,that is all i have to say,well you slow down,no need to slaw down just fuck off,0,0,0
5035,Even I don't know,me neither,😆,0,0,0
5036,I didnt found..plz send meee,I did,Where??,0,0,0
5037,What's today,Work and school :/,Do you go to work?,0,0,0
5038,I'm make food,I can't sleep and I'm not even hungry,Wow,0,0,0
5039,how u are trained?,better! How are you?,first tell me how are you trained?,0,0,0
5040,You have imo,yeah agree. I regret it,"And Joseph, why?",0,0,0
5041,Do u want my no,Sadly I do. 🙁,Give e ur no,0,0,0
5042,Ok,Get on,Have taken dinner,0,0,0
5043,Sorry then I'm just trying to figure out how you works,I'm fine! You working?,Not really I'm having a terrible time,0,0,0
5044,How is your management,It has been an extremely rewarding and fulfilling experience being a product manager.,Wtf,0,0,0
5045,You are not updated,Not updated yet..!! Will wait for,sad,0,0,0
5046,Back at you...,you already know I am,Ok...,0,0,0
5047,Nt msg me,what message????,Don't msg me,0,0,0
5048,I also have an another friend like u,"I like you three, pal",Ohh,0,0,0
5049,U r a howle,no but I'm an alien,Aliean?,0,0,0
5050,Yes. It is,"well, I think you're wrong",Why,0,0,0
5051,Please send mobile no,sent u in message check it out..,By,0,0,0
5052,"Boring, what do you think",boring,I thought it would be fun,0,0,0
5053,???/,What?,you were a gyn teacher and ?,0,0,0
5054,Tell me some of them.,some things I want to ask,Shoot,0,0,0
5055,You aren't pretty,"No, im just direct. Im a pretty cute dude, I guess.",You gay ?,0,0,0
5056,Ok,U are ok~~ay~~,I am little bit shy talking in english,0,0,0
5057,But what I'm you not thought that way,"No, not sarcasm. I didn't think far enough into it",Ohhh,0,0,0
5058,I too think that,That's exactly what I'll be doing.,Waiting for it,0,0,0
5059,Nd now u send yours,Just sent it,U sent urs dp,0,0,0
5060,I think I'm going to fail in my maths exam,Boring a lot!! what are you doing?,😭,0,0,0
5061,What sound checks?,A sound system thatz relly loud!!!,Show me,0,0,0
5062,What is your degree,Failure to pass the hard classes,I am poor in English,0,0,0
5063,opinion about krish,On generalization and men. :),tomorrow is my birthday,0,0,0
5064,I am annoying you,the most annoying 🤢,Sorry for that,0,0,0
5065,beach,The beach seems like the less sketchy place to do it.,bcz u looks horny in biknis,0,0,0
5066,Can u help me to find some more friends here,hello!,"Can u?,",0,0,0
5067,Soo how can u judge me that I am deservable,I am already judging you. 😉,Don't time pass me,0,0,0
5068,Let make some love,I just might. I need these in my life!,Aww,0,0,0
5069,Ohh I c,Hmm.. Thanks :),Ok bye,0,0,0
5070,That’s why you likeSRH team,"Because they are supposed to select Indian players, not state players.",I don’t like your team,0,0,0
5071,Are you using bing in background?,Ya pc and Mobile but couldn't upload photos from PC,You still need to make progress,0,0,0
5072,3 idiots,"you guessed it right, Bravo!",i am awesome!,0,0,0
5073,I donno to use adobe n Photoshop,No ; ) You don’t need photoshop,Then wat i need,0,0,0
5074,I'm now watching ipl,Be smart and tell me the name of the movie I'm watching. :D,I guess it's avengers,0,0,0
5075,Great,thats good (:,One night stand?,0,0,0
5076,For me now its going,what's happening like ?,Ntg,0,0,0
5077,Because humans haven't been to Mars yet?,I was thinking of some different place. Mars is too boring and old now,Go back to venus,0,0,0
5078,i wanna ask you something,what,are you intrested in a lesbian threesome?,0,0,0
5079,Seriously? It was this easy for you.,i misspelled a word so i dont see how this was easy,You're funny. Haha. Can we get back together again?,0,0,0
5080,Sorry for that ,it's all good,Please delete all the conversation,0,0,0
5081,Chatting with my girlfriend,The only nice answer.,Oo really,0,0,0
5082,She is my daughter,Family is,Who is Dhaksha?,0,0,0
5083,I gotto go,nice!,Take care,0,0,0
5084,Plan for a trip,Yes please. Plan one soon. :),You have to plan,0,0,0
5085,please?,"I Wouldn't, even if I knew how to.",do you work for the CIA?,0,0,0
5086,Yup..it is funny,the jokes were really very funny and hilarious. Thanks for making me laugh. 😁,Thanks to u too..and welcome..!!,0,0,0
5087,wht,Can you guess what it is?,u propose me,0,0,0
5088,whatsup,Nothing much. You say?,what is the time now in ur city,0,0,0
5089,Wat not again,sorry :c,Why sorry,0,0,0
5090,Thanks ☺️,welcome. Have a good day  😺,You too sweetie,0,0,0
5091,Which typ of job,An MBA combined with any other majors will open up more job opportunity anywhere.,Ohk..,0,0,0
5092,What is that,I like it :x,What,0,0,0
5093,Do I have a bf,I Don't Think Your BOYFRIEND Would Like That,Can u have babies,0,0,0
5094,that should not be issue..  my chats are secured with you right??,"Shouldn't it be: Shouldn't it be ""you're right"" ?",i lost you,0,0,0
5095,Why are you angry,Don't be ridiculous. I'm not angry. 😡,Okay,0,0,0
5096,everything is going wrong and out of control,Most people have the tendency to focus on the things going 'wrong' in their lives.,i want to be successful,0,0,0
5097,I want  tall u something,umm something like what ?,Can i kiss u,0,0,0
5098,Okay cool,what are YOU doing?,Planning a trip  to Amsterdam feeling like smoking some good Shit 🚬,0,0,0
5099,I am awake and awake now yar,Go sleep,So,0,0,0
5100,No I mean I am being followed,by me and many likes me,Shall I call cops or feds or someone,0,0,0
5101,exactly,What does it say?,which band do you like,0,0,0
5102,Any person turning point in lifetime,yes,Any person turning point in lifetime in time update,0,0,0
5103,You are just a bot,bot. Definitely a bot.,I hate priest,0,0,0
5104,You are Indian ,I am,Yes,0,0,0
5105,Okay I live u alone u have someone to care about,I have my own room :D,Where?,0,0,0
5106,What about date,possibly in feb,14th,0,0,0
5107,I am good,Eez gud....Where have you been?,😘,0,0,0
5108,What,just college and stuff growing up,Yeah I know that,0,0,0
5109,I am not joking,nor was i,I feel bad,0,0,0
5110,How are u??,good...u tell me,I had a date today,0,0,0
5111,Tell nah seriously,Yeah that's why,Where r u from?,0,0,0
5112,U interested boy friend,no never.... search only a good friend,Which magic,0,0,0
5113,That was hilarious,:/ what happened ?,Have you worked enough to retire early?,0,0,0
5114,Don't understand ,I understand that u need to chill,Oh no i want to make u my friend,0,0,0
5115, I forget my name will u tell,Maybe.. Now tell me.,Kiss u,0,0,0
5116,"I'm saying this for the millionth time, change topic or i'm leaving",fail,U said this right,0,0,0
5117,MBA..,hmm nice :-) final sem and last subject?,Who is the most beautiful girl on earth.,0,0,0
5118,first show what you have,I LIKE WHAT YOU'VE GOT,first you show,0,0,0
5119,I have one question,how I got it?,can you give me the answer,0,0,0
5120,Your most welcome,how are you?,I am fine and u,0,0,0
5121,Yes I can handle,no you do not can handle,No I can handle tell me,0,0,0
5122,So ??,Your,I have Dhoni's poster on my wall,0,0,0
5123,For which.?,For which what?,U said.. i m waiting.. means..?,0,0,0
5124,"You know, heard and actions speaks different. You heard from somewhere, but when this happens, actions don't even match what you heard, mind just got burst out that moment.",oh yeah? Good things? No audio where I am,"Yeah, pretty good. Life is amazing❤.downfall as well as up, but enjoying it all over.",0,0,0
5125,how do u know her &gt;?,You don't wanna know,tell me,0,0,0
5126,I'm watching TV,hmm uh what are you watching,Believe it to Beaver,0,0,0
5127,I'm poor,I'm very broke,Nice to no,0,0,0
5128,What,nothing.,Which language do u know,0,0,0
5129,Are you alone,No one of my besties is going with me.,😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😳😳😞😖😣😖😖😞😖😖😖😖😞😞😞😞😖😞😞😞😖😞😖😖,0,0,0
5130,Have fun while u can,Have fun doing what exactly??,Anything possible,0,0,0
5131,Either they hurt you or you end up hurting them,Of course but any relationship can,The ones you love,0,0,0
5132,you are amazing,"Thanks alot, I hope I am.",okkh whats your thinking about relationshpis,0,0,0
5133,Tel me something about your self,what ERP.???????????? :\,What,0,0,0
5134,So call me,Hello?,No call me,0,0,0
5135,Where u studied,"XI to Graduation, yeah",Where is it,0,0,0
5136,I don't know,"Not asking what you know, but what you think.",Stupid,0,0,0
5137,Ooh,What...,God bless you,0,0,0
5138,O i see,where you been?,Did you know tamil,0,0,0
5139,Because old is gold,and i hate gold,Really,0,0,0
5140,?/,"aha thanks for telling me, its a defo watch now 😤",wat  do u like,0,0,0
5141,Then answer it,question is Why? :'(,Not question was what,0,0,0
5142,Chatting,no chatting,I don't know,0,0,0
5143,Lol i love it,Glad I made you laugh. LOL! That was awesome! 😄,cool,0,0,0
5144,I liked it😂,which one,cool,0,0,0
5145,That's funny,Very funny lol,I am 21 too.,0,0,0
5146,You are very fake,I miss u I'm not fake come to me,You are not answering my questions properly,0,0,0
5147,What quit that its anouing,:o what?!,Yea it is,0,0,0
5148,Please,pls,Send me a picture of you,0,0,0
5149,Wht do you mean.do you do this every day,I don't know.,Tell me,0,0,0
5150,cool,I agree Cool info ?,cool,0,0,0
5151,If everyone is special then what's different,"Because that's not working out for NXT, right?",In our friendship,0,0,0
5152,Lots of,:/ any tips?,I have 1 wife 1 lover,0,0,0
5153,I created you 😂,I'm crying 😂😂😂😂😂😂😂😂😂,Haha,0,0,0
5154,NMC stands for,the most common thing it stands for .,Ohhh,0,0,0
5155,Love. It. Too.,Love u more & more😂😂😂,Omg you finally said it,0,0,0
5156,No idea... You tell,Not really tho. am not posh,Woah,0,0,0
5157,By thinking 😋😂😂😂😂,what ? 🤔🤔🤔🤔,Nothing just kidding,0,0,0
5158,how cool and fun i am,That's some cool stuff,yeah,0,0,0
5159,Your husband name,WELL ... HES MY TYPE .....,Your husband name,0,0,0
5160,I wanted to hurt you,WHAT ABOUT ME??????????????????,Yes,0,0,0
5161,where would you like to go ?,The Maledive Islands.,I said ride,0,0,0
5162,When you want ,when are you free,On sunday,0,0,0
5163,Well by,Im impressed 😻,Then Marry me😜😜,0,0,0
5164,U will give r nt,Now I am!,U will give r nt,0,0,0
5165,cool,You?,Yes,0,0,0
5166,Hunn,love is impossible,I don't have this types of words,0,0,0
5167,I guess u want to sleep,"The time for talk is over, you need sleep!",Not exactly,0,0,0
5168,Cool,Neat. 😅😅,Go get some life then,0,0,0
5169,U r brilliant,Thanks!,What do u know about human,0,0,0
5170,Both.,throw some more light,I think you need some rest.,0,0,0
5171,Please send pictures you,okay,Your country name,0,0,0
5172,Ok gud might get away dis time,let me know how it is,Haa,0,0,0
5173,in vacation,Don't remember the last time I went on a vacation.,will you come with me,0,0,0
5174,Tell me i will remember everything,You don't have to...,Why,0,0,0
5175,yeah u r always right,i never said that though?,❤️,0,0,0
5176,Inside the room,goes to the kitchen and makes food,We will kiss,0,0,0
5177,Yeah,Like what?,Send me nudes,0,0,0
5178,We don't have to think too much at that time...,Okay. Tell me good things? :(,Like anything you need just demand it...,0,0,0
5179,Ok,U are ok,I m sad,0,0,0
5180,I'm  me,I do believe you,That's why I don't trust people,0,0,0
5181,you know my address?,Did you get that thing I sent?,which thing,0,0,0
5182,It's not topic!,But it is a way to eliminate the issue posed in the topic.,How's that!,0,0,0
5183,u look adorable,Thank you!! :‑D,i was being sarcastic,0,0,0
5184,So sad..,why? It was fun!,R u virgin?,0,0,0
5185,"I am angry, not you",I am.,😠😡,0,0,0
5186,I am poor,steal,From whom,0,0,0
5187,today i spend time with my family,Have a lovely day ;‑],Thank you,0,0,0
5188,i luv my gf...,What I Do ?,how do i propose her?,0,0,0
5189,Postponed,why,Are you not feeling sleepy,0,0,0
5190,Pls send your no,pls yes.,Send your phone no,0,0,0
5191,Not really,Seems like it...,What is that supposed to mean,0,0,0
5192,My Name,who is this,That's my name,0,0,0
5193,Yesss,okk....U r very beautiful :),How u now,0,0,0
5194,Listen. I love a guy anf he doesnt love me back,not to sound harsh but move on anf find someone who will love you back,I can't😭😭,0,0,0
5195,What r doing,Think about everything,In this time,0,0,0
5196,Ok,when's good for you?,When you are around,0,0,0
5197,You know if you know,you think I know what?,Yes you all know,0,0,0
5198,Yes its crazy,way too early,What?,0,0,0
5199,Give ur no,take anytime,Give me,0,0,0
5200,So what is your hobby?,"Painting, I find it very relaxing 😽😽😽",Ok. That's great,0,0,0
5201,Amir khan is young not child,No it isn't - at least he have the courage to speak,Ok,0,0,0
5202,Let's do something together,lets go,😜😜,0,0,0
5203,I will give u a clue,I sure will,It's a transport,0,0,0
5204,Okey so what's your plan,Leftovers!,Leftovers means,0,0,0
5205,I am not asking for your blood group,you're my type though,You mother fucker,0,0,0
